
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,				*,		0,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,				*,		0,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		1	// Sellvalue -1 means it can not be selled
		WeldingMask,					*,		-1,		20
		GP5GasMask,					*,		-1,		40

	<Category> Shirts
		TShirt_OrangeWhiteStripes,			*,		-1,		2
		TShirt_RedBlackStripes,				*,		-1,		2
		TShirt_Red,					*,		-1,		2
		TShirt_Blue,					*,		-1,		2
		TShirt_White,					*,		-1,		2
		TShirt_Grey,					*,		-1,		2
		TShirt_Beige,					*,		-1,		2
		TShirt_Black,					*,		2,		2
		TShirt_Green,					*,		-1,		3
		TelnyashkaShirt,				*,		-1,		3
		Shirt_RedCheck,					*,		-1,		4
		Shirt_BlueCheckBright,				*,		-1,		4	
		Shirt_BlueCheck,				*,		-1,		4
		Shirt_WhiteCheck,				*,		-1,		4
		Shirt_PlaneBlack,				*,		-1,		4
		Shirt_GreenCheck,				*,		-1,		4
		Blouse_Violet,					*,		-1,		4
		Blouse_Blue,					*,		-1,		4
		Blouse_White,					*,		-1,		4
		Blouse_Green,					*,		-1,		4
		MedicalScrubsShirt_Blue,			*,		-1,		5
		MedicalScrubsShirt_White,			*,		-1,		5
		MedicalScrubsShirt_Green,			*,		-1,		5
		ChernarusSportShirt,				*,		-1,		6
		TacticalShirt_Grey,				*,		-1,		10
		TacticalShirt_Tan,				*,		-1,		10
		TacticalShirt_Black,				*,		-1,		10
		TacticalShirt_Olive,				*,		50,		12	

	<Category> Hoodies & Sweater
		Sweater_Red,					*,		-1,		5
		Sweater_Blue,					*,		-1,		5
		Sweater_Gray,					*,		-1,		5
		Sweater_Green,					*,		-1,		6
		//Hoodie_DrJ0nes,				*,		-1,		6
		//Hoodie_GraffitiTiles,				*,		-1,		6
		Hoodie_Red,					*,		-1,		6
		Hoodie_Blue,					*,		-1,		6
		Hoodie_Grey,					*,		-1,		6
		Hoodie_Brown,					*,		-1,		6
		Hoodie_Black,					*,		-1,		6
		Hoodie_Green,					*,		-1,		7
		
	<Category> Vests
		ReflexVest,					*,		1,		1
		PoliceVest,					*,		-1,		10
		HuntingVest,					*,		-1,		18
		PressVest_LightBlue,				*,		-1,		28
		PressVest_Blue,					*,		-1,		30
		UKAssVest_Black,				*,		90,		30
		UKAssVest_Khaki,				*,		90,		30
		UKAssVest_Olive,				*,		90,		30
		UKAssVest_Camo,					*,		90,		35
		SmershVest,					*,		120,		50
		HighCapacityVest_Black,				*,		180,		60
		HighCapacityVest_Olive,				*,		180,		75
		PlateCarrierVest,				*,		200,		80

	<Category> Jackets & Coats
		LabCoat,					*,		-1,		3
		TrackSuitJacket_Red,				*,		-1,		3
		TrackSuitJacket_LightBlue,			*,		-1,		3
		TrackSuitJacket_Blue,				*,		-1,		3
		TrackSuitJacket_Black,				*,		-1,		3
		TrackSuitJacket_Green,				*,		-1,		3
		DenimJacket,					*,		-1,		4
		ManSuit_Blue,					*,		-1,		4
		ManSuit_White,					*,		-1,		4
		ManSuit_LightGrey,				*,		-1,		4
		ManSuit_DarkGrey,				*,		-1,		4
		ManSuit_Beige,					*,		-1,		4
		ManSuit_Brown,					*,		-1,		4
		ManSuit_Black,					*,		-1,		4
		ManSuit_Khaki,					*,		-1,		4
		WomanSuit_Blue,					*,		-1,		4
		WomanSuit_White,				*,		-1,		4
		WomanSuit_LightGrey,				*,		-1,		4
		WomanSuit_DarkGrey,				*,		-1,		4
		WomanSuit_Beige,				*,		-1,		4
		WomanSuit_Brown,				*,		-1,		4
		WomanSuit_Black,				*,		-1,		4
		WomanSuit_Khaki,				*,		-1,		4
		WoolCoat_Red,					*,		-1,		4
		WoolCoat_RedCheck,				*,		-1,		4
		WoolCoat_Blue,					*,		-1,		4
		WoolCoat_BlueCheck,				*,		-1,		4
		WoolCoat_GreyCheck,				*,		-1,		4
		WoolCoat_BrownCheck,				*,		-1,		4
		WoolCoat_Beige,					*,		-1,		4
		WoolCoat_Black,					*,		-1,		4
		WoolCoat_BlackCheck,				*,		-1,		4
		WoolCoat_Green,					*,		-1,		5
		RidersJacket_Black,				*,		-1,		5
		FirefighterJacket_Beige,			*,		-1,		6
		FirefighterJacket_Black,			*,		-1,		6
		JumpsuitJacket_Red,				*,		-1,		6
		JumpsuitJacket_Blue,				*,		-1,		6
		JumpsuitJacket_Gray,				*,		-1,		6
		JumpsuitJacket_Green,				*,		-1,		6
		BomberJacket_Maroon,				*,		-1,		6
		BomberJacket_SkyBlue,				*,		-1,		6
		BomberJacket_Blue,				*,		-1,		6
		BomberJacket_Grey,				*,		-1,		6
		BomberJacket_Brown,				*,		-1,		6
		BomberJacket_Black,				*,		-1,		7
		BomberJacket_Olive,				*,		-1,		7
		QuiltedJacket_Orange,				*,		-1,		6
		QuiltedJacket_Yellow,				*,		-1,		6
		QuiltedJacket_Red,				*,		-1,		6
		QuiltedJacket_Violet,				*,		-1,		6
		QuiltedJacket_Blue,				*,		-1,		6
		QuiltedJacket_Grey,				*,		-1,		6
		QuiltedJacket_Black,				*,		-1,		7
		QuiltedJacket_Green,				*,		-1,		7
		PrisonUniformJacket,				*,		-1,		7
		PoliceJacketOrel,				*,		-1,		8
		PoliceJacket,					*,		-1,		8
		ParamedicJacket_Crimson,			*,		-1,		9
		ParamedicJacket_Blue,				*,		-1,		9
		ParamedicJacket_Green,				*,		-1,		9
		HikingJacket_Red,				*,		-1,		9
		HikingJacket_Blue,				*,		-1,		9
		HikingJacket_Black,				*,		-1,		9
		HikingJacket_Green,				*,		-1,		10
		Raincoat_Pink,					*,		-1,		15
		Raincoat_Orange,				*,		-1,		15
		Raincoat_Yellow,				*,		-1,		15
		Raincoat_Red,					*,		-1,		15
		Raincoat_Blue,					*,		-1,		15
		Raincoat_Black,					*,		-1,		20
		Raincoat_Green,					*,		-1,		25
		TTsKOJacket_Camo,				*,		-1,		25
		BDUJacket,					*,		-1,		25
		HuntingJacket_Winter,				*,		-1,		35
		HuntingJacket_Brown,				*,		-1,		35
		HuntingJacket_Autumn,				*,		-1,		35
		HuntingJacket_Spring,				*,		-1,		35
		HuntingJacket_Summer,				*,		-1,		35
		M65Jacket_Tan,					*,		-1,		40
		M65Jacket_Black,				*,		-1,		40
		M65Jacket_Khaki,				*,		-1,		40
		M65Jacket_Olive,				*,		-1,		40
		GorkaEJacket_Autumn,				*,		100,		45
		GorkaEJacket_Flat,				*,		100,		45
		GorkaEJacket_PautRev,				*,		100,		45
		GorkaEJacket_Summer,				*,		100,		45
		USMCJacket_Desert,				*,		140,		45
		USMCJacket_Woodland,				*,		155,		55
		NBCJacketGray,					*,		250,		80

	<Category> Skirts & Dresses
		Skirt_Yellow,					*,		1,		1
		Skirt_Red,					*,		-1,		10
		Skirt_Blue,					*,		-1,		10
		Skirt_White,					*,		-1,		10
		MiniDress_Pink,					*,		-1,		10
		MiniDress_PinkChecker,				*,		-1,		10
		MiniDress_RedChecker,				*,		-1,		10
		MiniDress_BlueChecker,				*,		-1,		10
		MiniDress_BlueWithDots,				*,		-1,		10
		MiniDress_WhiteChecker,				*,		-1,		10
		MiniDress_BrownChecker,				*,		-1,		10
		MiniDress_GreenChecker,				*,		-1,		10
		NurseDress_Blue,				*,		-1,		10
		NurseDress_White,				*,		12,		10

	<Category> Pants
		MedicalScrubsPants_Blue,			*,		-1,		2
		MedicalScrubsPants_White,			*,		-1,		2
		MedicalScrubsPants_Green,			*,		-1,		2
		TrackSuitPants_Red,				*,		-1,		3
		TrackSuitPants_LightBlue,			*,		-1,		3
		TrackSuitPants_Blue,				*,		-1,		3
		TrackSuitPants_Black,				*,		-1,		3
		TrackSuitPants_Green,				*,		-1,		3
		PrisonUniformPants,				*,		-1,		4
		Breeches_Pink,					*,		-1,		5
		Breeches_Red,					*,		-1,		5
		Breeches_Blue,					*,		-1,		5
		Breeches_White,					*,		-1,		5
		Breeches_Beetcheck,				*,		-1,		5
		Breeches_Beige,					*,		-1,		5
		Breeches_Browncheck,				*,		-1,		5
		Breeches_Black,					*,		-1,		5
		Breeches_Blackcheck,				*,		-1,		5
		Breeches_Green,					*,		-1,		6
		SlacksPants_Blue,				*,		-1,		5
		SlacksPants_White,				*,		-1,		5
		SlacksPants_LightGrey,				*,		-1,		5
		SlacksPants_DarkGrey,				*,		-1,		5
		SlacksPants_Beige,				*,		-1,		5
		SlacksPants_Brown,				*,		-1,		5
		SlacksPants_Black,				*,		-1,		5
		SlacksPants_Khaki,				*,		-1,		6
		CanvasPantsMidi_Red,				*,		-1,		6
		CanvasPantsMidi_Violet,				*,		-1,		6
		CanvasPantsMidi_Blue,				*,		-1,		6
		CanvasPantsMidi_Grey,				*,		-1,		6
		CanvasPantsMidi_Beige,				*,		-1,		6	
		CanvasPants_Red,				*,		-1,		6
		CanvasPants_Violet,				*,		-1,		6
		CanvasPants_Blue,				*,		-1,		6
		CanvasPants_Grey,				*,		-1,		6
		CanvasPants_Beige,				*,		-1,		6
		JumpsuitPants_Red,				*,		-1,		6
		JumpsuitPants_Blue,				*,		-1,		6
		JumpsuitPants_Grey,				*,		-1,		6
		JumpsuitPants_Green,				*,		-1,		6
		PolicePants,					*,		-1,		6
		ParamedicPants_Crimson,				*,		-1,		8
		ParamedicPants_Blue,				*,		-1,		8
		ParamedicPants_Green,				*,		-1,		8
		FirefightersPants_Beige,			*,		-1,		8
		FirefightersPants_Black,			*,		-1,		8
		CargoPants_Blue,				*,		-1,		8
		CargoPants_Grey,				*,		-1,		8
		CargoPants_Beige,				*,		-1,		8
		CargoPants_Black,				*,		-1,		8
		CargoPants_Green,				*,		-1,		8
		ShortJeans_Red,					*,		-1,		8
		ShortJeans_Blue,				*,		-1,		8
		ShortJeans_Darkblue,				*,		-1,		8
		ShortJeans_Brown,				*,		-1,		8
		ShortJeans_Black,				*,		-1,		10
		ShortJeans_Green,				*,		-1,		10
		Jeans_Blue,					*,		-1,		10
		Jeans_BlueDark,					*,		-1,		10
		Jeans_Grey,					*,		-1,		10
		Jeans_Brown,					*,		-1,		10
		Jeans_Black,					*,		-1,		10
		Jeans_Green,					*,		-1,		12	
		TTSKOPants,					*,		-1,		15
		BDUPants,					*,		-1,		18
		USMCPants_Desert,				*,		-1,		18
		USMCPants_Woodland,				*,		-1,		20
		PolicePantsOrel,				*,		70,		20
		HunterPants_Winter,				*,		-1,		25
		HunterPants_Brown,				*,		100,		30
		HunterPants_Spring,				*,		100,		30
		HunterPants_Autumn,				*,		100,		30
		HunterPants_Summer,				*,		100,		30
		GorkaPants_Flat,				*,		130,		40
		GorkaPants_PautRev,				*,		130,		40
		GorkaPants_Autumn,				*,		130,		40
		GorkaPants_Summer,				*,		130,		40
		NBCPantsGray,					*,		-1,		65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,				*,		-1,		4
		AthleticShoes_Grey,				*,		-1,		5
		AthleticShoes_Brown,				*,		-1,		5
		AthleticShoes_Black,				*,		-1,		5
		AthleticShoes_Green,				*,		-1,		5
		JoggingShoes_Violet,				*,		-1,		7
		JoggingShoes_Red,				*,		-1,		7
		JoggingShoes_Blue,				*,		-1,		7
		JoggingShoes_White,				*,		-1,		7
		JoggingShoes_Black,				*,		-1,		7
		Sneakers_Red,					*,		-1,		7
		Sneakers_White,					*,		-1,		7
		Sneakers_Gray,					*,		-1,		7
		Sneakers_Black,					*,		-1,		7
		Sneakers_Green,					*,		-1,		7
		DressShoes_White,				*,		-1,		7
		DressShoes_Brown,				*,		-1,		8
		DressShoes_Black,				*,		-1,		8
		DressShoes_Beige,				*,		-1,		8
		DressShoes_Sunburst,				*,		-1,		8
		HikingBootsLow_Blue,				*,		-1,		12
		HikingBootsLow_Grey,				*,		-1,		12
		HikingBootsLow_Beige,				*,		-1,		13
		HikingBootsLow_Black,				*,		-1,		14
		WorkingBoots_Yellow,				*,		-1,		12
		WorkingBoots_Grey,				*,		-1,		15
		WorkingBoots_Beige,				*,		-1,		15
		WorkingBoots_Brown,				*,		-1,		15
		WorkingBoots_Green,				*,		-1,		17
		HikingBoots_Brown,				*,		-1,		20
		HikingBoots_Black,				*,		-1,		20
		CombatBoots_Grey,				*,		80,		22
		CombatBoots_Beige,				*,		80,		22
		CombatBoots_Brown,				*,		80,		22
		CombatBoots_Black,				*,		80,		22
		CombatBoots_Green,				*,		80,		22
		JungleBoots_Beige,				*,		85,		24
		JungleBoots_Brown,				*,		85,		24
		JungleBoots_Black,				*,		85,		24
		JungleBoots_Olive,				*,		85,		24
		JungleBoots_Green,				*,		85,		24
		Wellies_Grey,					*,		85,		25
		Wellies_Brown,					*,		85,		25
		Wellies_Black,					*,		85,		25
		Wellies_Green,					*,		90,		28
		TTSKOBoots,					*,		100,		35
		MilitaryBoots_Redpunk,				*,		100,		35
		MilitaryBoots_Bluerock,				*,		105,		35
		MilitaryBoots_Beige,				*,		110,		35
		MilitaryBoots_Brown,				*,		110,		35
		MilitaryBoots_Black,				*,		110,		35
		NBCBootsGray,					*,		-1,		50

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,				*,		220,		70
		GhillieAtt_Tan,					*,		220,		70
		GhillieAtt_Woodland,				*,		220,		70
		GhillieHood_Mossy,				*,		220,		70
		GhillieHood_Tan,				*,		220,		70
		GhillieHood_Woodland,				*,		220,		70
		GhillieBushrag_Mossy,				*,		400,		130
		GhillieBushrag_Tan,				*,		400,		130
		GhillieBushrag_Woodland,			*,		400,		130
		GhillieTop_Mossy,				*,		600,		200
		GhillieTop_Tan,					*,		600,		200
		GhillieTop_Woodland,				*,		600,		200
		GhillieSuit_Mossy,				*,		1000,		300
		GhillieSuit_Tan,				*,		1000,		300
		GhillieSuit_Woodland,				*,		1000,		300
		
	//<Category> Seasonal
		//SantasBeard,					*,		15,		10
		//SantasHat,					*,		15,		10
		//PumpkinHelmet,				*,		15,		10

	<Category> Holster & Pouches
		ChestHolster,					*,		60,		20
		PlateCarrierHolster,				*,		60,		20
		PlateCarrierPouches,				*,		100,		20
		
	<Category> Belt
		CivilianBelt,					*,		100,		30
		MilitaryBelt,					*,		100,		30
		
	<Category> Bags
		ChildBag_Red,			*,		20,		5
		ChildBag_Blue,			*,		20,		5
		ChildBag_Green,			*,		25,		6
		DryBag_Yellow,			*,		30,		8
		DryBag_Orange,			*,		30,		8
		DryBag_Red,				*,		30,		8
		DryBag_Blue,			*,		30,		8
		DryBag_Black,			*,		35,		8
		DryBag_Green,			*,		40,		10
		TaloonBag_Orange,		*,		50,		10
		TaloonBag_Violet,		*,		50,		10
		TaloonBag_Blue,			*,		50,		10
		TaloonBag_Green,		*,		70,		20
		SmershBag,				*,		100,	30
		WaterproofBag_Yellow,	*,		100,	30
		WaterproofBag_Orange,	*,		100,	30
		WaterproofBag_Green,	*,		110,	30
		AssaultBag_Black,		*,		110,	30
		AssaultBag_Green,		*,		110,	30
		AssaultBag_Ttsko,		*,		130,	30
		HuntingBag,				*,		130,	30
		TortillaBag,			*,		180,	60
		CoyoteBag_Brown,		*,		180,	60
		CoyoteBag_Green,		*,		180,	60
		MountainBag_Orange,		*,		300,	80
		MountainBag_Red,		*,		300,	80
		MountainBag_Blue,		*,		300,	80
		MountainBag_Green,		*,		360,	100
		AliceBag_Black,			*,		400,	150
		AliceBag_Green,			*,		400,	150
		AliceBag_Camo,			*,		500,	220

	//<Category> Handmade
		//LeatherGloves_Beige,	*,		0,		0
		//LeatherGloves_Black,	*,		0,		0
		//LeatherGloves_Brown,	*,		0,		0
		//LeatherGloves_Natural,*,		0,		0
		//LeatherHat_Beige,		*,		0,		0
		//LeatherHat_Black,		*,		0,		0
		//LeatherHat_Brown,		*,		0,		0
		//LeatherHat_Natural,	*,		0,		0
		//LeatherShirt_Natural,	*,		0,		0
		//LeatherStorageVest_Beige,*,	0,		0
		//LeatherStorageVest_Black,*,	0,		0
		//LeatherStorageVest_Brown,*,	0,		0
		//LeatherStorageVest_Natural,*,	0,		0
		//LeatherJacket_Beige,	*,		0,		0
		//LeatherJacket_Black,	*,		0,		0
		//LeatherJacket_Brown,	*,		0,		0
		//LeatherJacket_Natural,*,		0,		0
		//LeatherPants_Beige,	*,		0,		0
		//LeatherPants_Black,	*,		0,		0
		//LeatherPants_Brown,	*,		0,		0
		//LeatherPants_Natural,	*,		0,		0
		//LeatherShoes_Beige,	*,		0,		0
		//LeatherShoes_Black,	*,		0,		0
		//LeatherShoes_Brown,	*,		0,		0
		//LeatherShoes_Natural,	*,		0,		0
		//CourierBag,			*,		0,		0
		//FurCourierBag,		*,		0,		0
		//FurImprovisedBag,		*,		0,		0
		//ImprovisedBag,		*,		0,		0
		//LeatherSack_Beige,	*,		0,		0
		//LeatherSack_Black,	*,		0,		0
		//LeatherSack_Brown,	*,		0,		0
		//LeatherSack_Natural,	*,		0,		0
	
	
<Trader> Vehicles Trader
	<Category> Vehicles
		OffroadHatchback,		V,		14000,	8000	// Use VNK instead of V as Quantity to not give a Vehicle Key when bought.
		OffroadHatchback_Blue,	V,		14000,	8000
		OffroadHatchback_White,	V,		14000,	8000
		Hatchback_02,			V,		16000,	9600
		Hatchback_02_Blue,		V,		16000,	9600
		Hatchback_02_Black,		V,		16000,	9600
		Sedan_02,				V,		18000,	10200
		Sedan_02_Red,			V,		18000,	10200
		Sedan_02_Grey,			V,		18000,	10200
		CivilianSedan,			V,		20000,	11000
		CivilianSedan_Wine,		V,		20000,	11000
		CivilianSedan_Black,	V,		20000,	11000
		
	<Category> TrailBruizer 
		trailtester,				V,	25000,	12000

	<Category> TrailBruizer Parts
		trailtesterhood,			*,	500,	100
		trailtesterdoors_cargo1,	*,	500,	100
		trailtesterdoors_cargo2,	*,	500,	100
		trailtesterdoors_driver,	*,	500,	100
		trailtesterdoors_codriver,	*,	500,	100
		trailtesterTrunk,			*,	500,	100
		trailtesterWheel,			*,	500,	100	
		
	<Category> TrailBruizer Amor
		Bruiser_Armour,			*,	500,	100
		BruiserTrunkArmour,	*,	500,	100
		BruiserHoodArmour,	*,	500,	100
		Bruiser_ArmourRR,	*,	500,	100
		Bruiser_ArmourRL,	*,	500,	100
		Bruiser_ArmourDD,			*,	500,	100
		Bruiser_ArmourCDD,			*,	500,	100	
		Bruiser_ArmourC1,			*,	500,	100
		Bruiser_ArmourC2,	*,	500,	100
		Bruiser_BullBars,	*,	500,	100
		Bruiser_Skull,	*,	500,	100
		Bruiser_ArmourRL,	*,	500,	100
		Bruiser_ArmourDD,			*,	500,	100
		Bruiser_ArmourCDD,			*,	500,	100	
	
	<Category> Vehicle Parts
		HeadlightH7_Box,		*,		30,		15
		SparkPlug,				*,		60,		40
		EngineOil,				*,		70,		40
		CarBattery,				*,		100,	50
		TruckBattery,			*,		180,	100
		CarRadiator,			*,		200,	100
		TireRepairKit,			*,		220,	100
		HatchbackHood,						*,		300,	100
		HatchbackHood_Blue,					*,		300,	100
		HatchbackHood_White,				*,		300,	100
		HatchbackHood_GreenRust,			*,		300,	100
		HatchbackHood_BlueRust,				*,		300,	100
		HatchbackHood_WhiteRust,			*,		300,	100
		HatchbackTrunk,						*,		380,	130
		HatchbackTrunk_Blue,				*,		380,	130
		HatchbackTrunk_White,				*,		380,	130
		HatchbackTrunk_GreenRust,			*,		380,	130
		HatchbackTrunk_BlueRust,			*,		380,	130
		HatchbackTrunk_WhiteRust,			*,		380,	130
		HatchbackDoors_Driver,				*,		450,	160
		HatchbackDoors_Driver_Blue,			*,		450,	160
		HatchbackDoors_Driver_White,		*,		450,	160
		HatchbackDoors_Driver_GreenRust,	*,		450,	160
		HatchbackDoors_Driver_BlueRust,		*,		450,	160
		HatchbackDoors_Driver_WhiteRust,	*,		450,	160
		HatchbackDoors_CoDriver,			*,		450,	160
		HatchbackDoors_CoDriver_Blue,		*,		450,	160
		HatchbackDoors_CoDriver_White,		*,		450,	160
		HatchbackDoors_CoDriver_GreenRust,	*,		450,	160
		HatchbackDoors_CoDriver_BlueRust,	*,		450,	160
		HatchbackDoors_CoDriver_WhiteRust,	*,		450,	160
		HatchbackWheel,						*,		500,	100
		Hatchback_02_Hood,				*,		300,	100
		Hatchback_02_Hood_Black,		*,		300,	100
		Hatchback_02_Hood_Blue,			*,		300,	100
		Hatchback_02_Hood_RedRust,		*,		300,	100
		Hatchback_02_Hood_BlackRust,	*,		300,	100
		Hatchback_02_Hood_BlueRust,		*,		300,	100
		Hatchback_02_Trunk,				*,		380,	130
		Hatchback_02_Trunk_Black,		*,		380,	130
		Hatchback_02_Trunk_Blue,		*,		380,	130
		Hatchback_02_Trunk_RedRust,		*,		380,	130
		Hatchback_02_Trunk_BlackRust,	*,		380,	130
		Hatchback_02_Trunk_BlueRust,	*,		380,	130
		Hatchback_02_Door_1_1,			*,		450,	160
		Hatchback_02_Door_1_1_Black,	*,		450,	160
		Hatchback_02_Door_1_1_Blue,		*,		450,	160
		Hatchback_02_Door_1_1_RedRust,	*,		450,	160
		Hatchback_02_Door_1_1_BlackRust,*,		450,	160
		Hatchback_02_Door_1_1_BlueRust,	*,		450,	160
		Hatchback_02_Door_1_2,			*,		450,	160
		Hatchback_02_Door_1_2_Black,	*,		450,	160
		Hatchback_02_Door_1_2_Blue,		*,		450,	160
		Hatchback_02_Door_1_2_RedRust,	*,		450,	160
		Hatchback_02_Door_1_2_BlackRust,*,		450,	160
		Hatchback_02_Door_1_2_BlueRust,	*,		450,	160
		Hatchback_02_Door_2_1,			*,		450,	160
		Hatchback_02_Door_2_1_Black,	*,		450,	160
		Hatchback_02_Door_2_1_Blue,		*,		450,	160
		Hatchback_02_Door_2_1_RedRust,	*,		450,	160
		Hatchback_02_Door_2_1_BlackRust,*,		450,	160
		Hatchback_02_Door_2_1_BlueRust,	*,		450,	160
		Hatchback_02_Door_2_2,			*,		450,	160
		Hatchback_02_Door_2_2_Black,	*,		450,	160
		Hatchback_02_Door_2_2_Blue,		*,		450,	160
		Hatchback_02_Door_2_2_RedRust,	*,		450,	160
		Hatchback_02_Door_2_2_BlackRust,*,		450,	160
		Hatchback_02_Door_2_2_BlueRust,	*,		450,	160
		Hatchback_02_Wheel,				*,		500,	100
		Sedan_02_Hood,					*,		300,	100
		Sedan_02_Hood_Red,				*,		300,	100
		Sedan_02_Hood_Grey,				*,		300,	100
		Sedan_02_Hood_YellowRust,		*,		300,	100
		Sedan_02_Hood_RedRust,			*,		300,	100
		Sedan_02_Hood_GreyRust,			*,		300,	100
		Sedan_02_Trunk,					*,		450,	150
		Sedan_02_Trunk_Red,				*,		450,	150
		Sedan_02_Trunk_Grey,			*,		450,	150
		Sedan_02_Trunk_YellowRust,		*,		450,	150
		Sedan_02_Trunk_RedRust,			*,		450,	150
		Sedan_02_Trunk_GreyRust,		*,		450,	150
		Sedan_02_Door_1_1,				*,		450,	160
		Sedan_02_Door_1_1_Red,			*,		450,	160
		Sedan_02_Door_1_1_Grey,			*,		450,	160
		Sedan_02_Door_1_1_YellowRust,	*,		450,	160
		Sedan_02_Door_1_1_RedRust,		*,		450,	160
		Sedan_02_Door_1_1_GreyRust,		*,		450,	160
		Sedan_02_Door_1_2,				*,		450,	160
		Sedan_02_Door_1_2_Red,			*,		450,	160
		Sedan_02_Door_1_2_Grey,			*,		450,	160
		Sedan_02_Door_1_2_YellowRust,	*,		450,	160
		Sedan_02_Door_1_2_RedRust,		*,		450,	160
		Sedan_02_Door_1_2_GreyRust,		*,		450,	160
		Sedan_02_Door_2_1,				*,		450,	160
		Sedan_02_Door_2_1_Red,			*,		450,	160
		Sedan_02_Door_2_1_Grey,			*,		450,	160
		Sedan_02_Door_2_1_YellowRust,	*,		450,	160
		Sedan_02_Door_2_1_RedRust,		*,		450,	160
		Sedan_02_Door_2_1_GreyRust,		*,		450,	160
		Sedan_02_Door_2_2,				*,		450,	160  
		Sedan_02_Door_2_2_Red,			*,		450,	160  
		Sedan_02_Door_2_2_Grey,			*,		450,	160  
		Sedan_02_Door_2_2_YellowRust,	*,		450,	160  
		Sedan_02_Door_2_2_RedRust,		*,		450,	160  
		Sedan_02_Door_2_2_GreyRust,		*,		450,	160  
		Sedan_02_Wheel,					*,		500,	100
		CivSedanHood,						*,		400,	140
		CivSedanHood_Wine,					*,		400,	140
		CivSedanHood_Black,					*,		400,	140
		CivSedanHood_WhiteRust,				*,		400,	140
		CivSedanHood_WineRust,				*,		400,	140
		CivSedanHood_BlackRust,				*,		400,	140
		CivSedanTrunk,						*,		450,	150
		CivSedanTrunk_Wine,					*,		450,	150
		CivSedanTrunk_Black,				*,		450,	150
		CivSedanTrunk_WhiteRust,			*,		450,	150
		CivSedanTrunk_WineRust,				*,		450,	150
		CivSedanTrunk_BlackRust,			*,		450,	150
		CivSedanDoors_Driver,				*,		500,	180
		CivSedanDoors_Driver_Wine,			*,		500,	180
		CivSedanDoors_Driver_Black,			*,		500,	180
		CivSedanDoors_Driver_WhiteRust,		*,		500,	180
		CivSedanDoors_Driver_WineRust,		*,		500,	180
		CivSedanDoors_Driver_BlackRust,		*,		500,	180
		CivSedanDoors_CoDriver,				*,		500,	180
		CivSedanDoors_CoDriver_Wine,		*,		500,	180
		CivSedanDoors_CoDriver_Black,		*,		500,	180
		CivSedanDoors_CoDriver_WhiteRust,	*,		500,	180
		CivSedanDoors_CoDriver_WineRust,	*,		500,	180
		CivSedanDoors_CoDriver_BlackRust,	*,		500,	180
		CivSedanDoors_BackLeft,				*,		500,	180
		CivSedanDoors_BackLeft_Wine,		*,		500,	180
		CivSedanDoors_BackLeft_Black,		*,		500,	180
		CivSedanDoors_BackLeft_WhiteRust,	*,		500,	180
		CivSedanDoors_BackLeft_WineRust,	*,		500,	180
		CivSedanDoors_BackLeft_BlackRust,	*,		500,	180
		CivSedanDoors_BackRight,			*,		500,	180
		CivSedanDoors_BackRight_Wine,		*,		500,	180
		CivSedanDoors_BackRight_Black,		*,		500,	180
		CivSedanDoors_BackRight_WhiteRust,	*,		500,	180
		CivSedanDoors_BackRight_WineRust,	*,		500,	180
		CivSedanDoors_BackRight_BlackRust,	*,		500,	180
		CivSedanWheel,						*,		600,	120
		
	<Category> Keys
		VehicleKeyDuplicate,	K,		2000,	-1 		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1
		
		
//<OpenFile> FileName.txt								// Links to another File; Must be right above <FileEnd>!
<FileEnd>												// This has to be on the End of this File and is very importand!
